# #Frequency(Hz) #PhaseVelocity(m/s) #BesselOrdinat #BesselAbsis #SPACCoefficient 
-1.066008022127978069e-03 1.000000000000000142e+02 -1.004688891295512330e-03 9.999997476500738225e-01 -8.523736764575240432e-01
2.958488144159945321e-01 1.000000000000000142e+02 2.788309385827615339e-01 9.806575692663459520e-01 -3.323104755759499485e-01
6.021572027079931111e-01 1.000000000000000142e+02 5.675197933000831751e-01 9.210867472813386581e-01 -1.498824996579257718e-01
8.996302821994280885e-01 1.456935348541652502e+02 5.819623818586693309e-01 9.171054287972253416e-01 0.000000000000000000e+00
1.207533803465045796e+00 9.582908925720818161e+02 1.187607861662458297e-01 9.964770759236173392e-01 1.085729513369304566e-02
1.505322901451449757e+00 2.830639569083952551e+02 5.012059557279602284e-01 9.381773121755974110e-01 8.654188476953095233e-13
1.811314317143405184e+00 3.458795500785295758e+02 4.935601209254290023e-01 9.400205660144200781e-01 1.520941150801036201e-09
2.111200215400465652e+00 2.896081660657389989e+02 6.870522171795826472e-01 8.854260973187493278e-01 0.000000000000000000e+00
2.413629418655258707e+00 3.020139821068111701e+02 7.532075565415905505e-01 8.631200075958513906e-01 0.000000000000000000e+00
2.715447430363529424e+00 2.981595751322315664e+02 8.583487243020102575e-01 8.241193176233807538e-01 0.000000000000000000e+00
3.016216205694421504e+00 2.792234126737839119e+02 1.018079671333134817e+00 7.571888967241512391e-01 -1.110223024625156540e-16
3.319212524154794064e+00 2.755191790726140084e+02 1.135414280416359167e+00 7.027651154438102621e-01 0.000000000000000000e+00
3.619606431442594197e+00 2.673590151697774218e+02 1.275961721360183487e+00 6.325705118042007635e-01 0.000000000000000000e+00
3.922224744009590758e+00 2.686078506488765925e+02 1.376210607218918636e+00 5.796959818600475600e-01 -1.110223024625156540e-16
4.223451214794495812e+00 2.560978477695433071e+02 1.554292247055489851e+00 4.813406825655379140e-01 -1.110223024625156540e-16
4.525140955822655187e+00 2.447490984017957487e+02 1.742537522234211655e+00 3.733608597930138662e-01 5.551115123125782702e-17
4.827128825952590852e+00 2.337353390832013815e+02 1.946415871518602181e+00 2.548763387628982802e-01 5.551115123125782702e-17
5.128365601964645748e+00 2.238583544216482721e+02 2.159120092928283441e+00 1.332046256840880294e-01 -2.775557561562891351e-17
5.430481986517994741e+00 2.207724972981881990e+02 2.318272772616317035e+00 4.570509637605307818e-02 -6.938893903907228378e-17
5.731843115024501500e+00 2.064128884929007199e+02 2.617149978351696493e+00 -1.048383644031235934e-01 -4.163336342344337027e-17
6.033692290290952442e+00 1.988306668908512336e+02 2.860032157454623469e+00 -2.090262134741048272e-01 2.775557561562891351e-17
6.335354771684440500e+00 1.963803711434619288e+02 3.040492880126351327e+00 -2.734736483166935739e-01 0.000000000000000000e+00
6.636950874152311108e+00 1.473478349987349532e+02 4.245178649958229578e+00 -3.699458767910862034e-01 1.110223024625156540e-16
6.938772721400452426e+00 1.548273481085367109e+02 4.223826928405356007e+00 -3.731564869592056688e-01 5.551115123125782702e-17
7.240312407063193234e+00 1.716170507732118153e+02 3.976197964930054951e+00 -3.986136034127583661e-01 0.000000000000000000e+00
7.542105791934297088e+00 1.855456032020131829e+02 3.831008184452747933e+00 -4.027592976438303385e-01 -1.043885006075212507e-02
7.843726019159234397e+00 1.685546029173824252e+02 4.385841432756365954e+00 -3.450979924033082957e-01 -5.551115123125782702e-17
8.145422028473806364e+00 1.870108265825654144e+02 4.105045436031579342e+00 -3.881439987402001690e-01 0.000000000000000000e+00
8.447127953250330279e+00 1.905337273528630533e+02 4.178383873116223945e+00 -3.794734466559695485e-01 1.110223024625156540e-16
8.748766929393076097e+00 1.790957006976721857e+02 4.603973485619444084e+00 -2.951165131574028377e-01 1.110223024625156540e-16
9.050496323794456899e+00 1.899322085271407730e+02 4.491019135089628911e+00 -3.226067417038976926e-01 2.775557561562891351e-16
9.352140729950795262e+00 1.846403677900902380e+02 4.773704195490912738e+00 -2.482120223825881600e-01 0.000000000000000000e+00
9.653845966934488487e+00 1.810418246719152364e+02 5.025653871458187538e+00 -1.691571654978157868e-01 -2.775557561562891351e-17
9.955521712419399094e+00 1.912568528751463361e+02 4.905893839235305975e+00 -2.078810516932648733e-01 2.498001805406602216e-16
1.025719815278547564e+01 1.879171847923484506e+02 5.144383958095203546e+00 -1.293009260461066290e-01 8.326672684688674053e-17
1.055889402330059390e+01 1.852382160527327244e+02 5.372284067590752166e+00 -5.078921892426827706e-02 6.938893903907228378e-18
1.086056117704128177e+01 1.931133390851764204e+02 5.300430208905406282e+00 -7.565427518420353437e-02 -8.326672684688674053e-17
1.116225659433005468e+01 2.011096964616648961e+02 5.231065025387669820e+00 -9.960853282091894356e-02 -6.800116025829083810e-16
1.146393084310796695e+01 2.057381893117988056e+02 5.251577410850288175e+00 -9.253672702296593389e-02 1.249000902703301108e-16
1.176561626415133688e+01 2.052604174162453887e+02 5.402323655825664872e+00 -4.040770089653101388e-02 1.040834085586084257e-16
1.206730012176793387e+01 2.060806111747170632e+02 5.518793038574857590e+00 -4.373154623574908588e-04 8.765774564545303349e-17
