# #Frequency(Hz) #PhaseVelocity(m/s) #BesselOrdinat #BesselAbsis #SPACCoefficient 
-4.264010616151134823e-03 1.000000000000000142e+02 -2.475540962022612645e-03 9.999984679248231645e-01 -3.735501131384239004e-01
1.183395231949171844e+00 1.340152889794020723e+02 5.126574907765715228e-01 9.353669952621007644e-01 0.000000000000000000e+00
2.408628833765617205e+00 1.889727758291238615e+02 7.399842532187618227e-01 8.677201752456987771e-01 0.000000000000000000e+00
3.598521117812939263e+00 1.545110636873783676e+02 1.352123350606573737e+00 5.925885738028690009e-01 0.000000000000000000e+00
4.830135203802422339e+00 1.343135666575676339e+02 2.087811307278793382e+00 1.735413267272907512e-01 0.000000000000000000e+00
6.021291642746875006e+00 1.023158863551015969e+02 3.416633789297290225e+00 -3.672190817698309795e-01 -6.222278248202428586e-11
7.245257205635857289e+00 1.097775334588187803e+02 3.831705994902624202e+00 -4.027593957025527582e-01 -1.119784898464128431e-01
8.444800940254340915e+00 1.279525891235694104e+02 3.831705992606739830e+00 -4.027593957025527027e-01 -5.343775954304336162e-02
9.654517600516577147e+00 1.749806545424884234e+02 3.203261407595569654e+00 -3.210383786408435025e-01 -2.220446049250313081e-16
1.086178976334864821e+01 2.549394250222695177e+02 2.473524578184827849e+00 -3.513734611349605963e-02 -1.110223024625156540e-16
1.206486484185551333e+01 3.411510882917682466e+02 2.053182431972260691e+00 1.933203312828547793e-01 0.000000000000000000e+00
1.327684999617066630e+01 3.570143269310288474e+02 2.159042759256520227e+00 1.332480462945643540e-01 -1.387778780781445676e-16
1.447842590884988923e+01 3.670530744323974659e+02 2.290046608872514877e+00 6.092216374603953710e-02 -4.163336342344337027e-17
1.568889873711319893e+01 4.054156671149664817e+02 2.246693204253582987e+00 8.456410440062332723e-02 -1.249000902703301108e-16
1.689380509597041069e+01 1.147144741181031407e+02 8.549901284062615403e+00 2.830350026003199473e-02 -3.781697177629439466e-16
1.810056367155267765e+01 1.267107035267816855e+02 8.293362274354899810e+00 9.776858267153802629e-02 -3.053113317719180486e-16
1.930851528031692155e+01 1.341861940972103184e+02 8.353969484264705869e+00 8.157816978744980574e-02 -1.387778780781445676e-16
2.051346267605466167e+01 1.471021514747126560e+02 8.096024066128858721e+00 1.485009990826446358e-01 0.000000000000000000e+00
2.172192741767216972e+01 1.690226403930079755e+02 7.461142179908003769e+00 2.714060522228032291e-01 5.551115123125782702e-17
2.292737318100762423e+01 2.384357032167363855e+02 5.582578678458137489e+00 2.113348417798604356e-02 2.428612866367529932e-17
2.413476841204881040e+01 2.539828742563768458e+02 5.516841944395893371e+00 -1.101474341902203020e-03 7.220786468753459530e-17
2.534141961722493974e+01 2.397148782362889392e+02 6.137447495705528944e+00 1.867173530636197232e-01 -8.326672684688674053e-17
2.654780346516339407e+01 2.571794982167421608e+02 5.992997393648259674e+00 1.487029384574108937e-01 5.551115123125782702e-17
2.775509018612934042e+01 2.697483129421327135e+02 5.973594593059528002e+00 1.432714419233886705e-01 5.551115123125782702e-17
2.896125114017100444e+01 2.802192540638513378e+02 6.000275435120419054e+00 1.507214582384350798e-01 8.326672684688674053e-17
3.016842100701044771e+01 3.173794477876401743e+02 5.518558103949181337e+00 -5.172756847850061351e-04 -1.624134854383285642e-16
3.137490642554303122e+01 3.376691648666185870e+02 5.394396626590333810e+00 -4.314554443842425618e-02 2.012279232133096230e-16
3.258168630658643394e+01 3.444905180860135943e+02 5.490958038891884385e+00 -9.933358972156211206e-03 -1.700029006457270953e-16
3.378851221330168642e+01 3.702841706043143972e+02 5.297680492922043349e+00 -7.660554117063138324e-02 1.387778780781445676e-17
3.499506948587553268e+01 3.765521189281988086e+02 5.395523692920748182e+00 -4.275619350374184474e-02 -1.040834085586084257e-16
3.620198101011586544e+01 3.975853484247977008e+02 5.286324322892362204e+00 -8.053323265084559590e-02 1.387778780781445676e-17
3.740856935270731753e+01 4.111489794094946433e+02 5.282308025163465537e+00 -8.192188440348349698e-02 -1.665334536937734811e-16
3.861537656277295838e+01 4.066197810683358398e+02 5.513452173821157487e+00 -2.255910686492260033e-03 -1.808449223705821396e-16
3.982209288422222926e+01 4.254838702177395930e+02 5.433664501446687112e+00 -2.959921771449654931e-02 -1.144917494144692682e-16
4.102879049843709680e+01 4.242783450279611088e+02 5.614223372617933805e+00 3.171731043935475253e-02 1.249000902703301108e-16
4.223557181616067169e+01 4.371865524775097924e+02 5.608715653331886486e+00 2.988148784774379702e-02 -3.469446951953614189e-17
4.344225672370501456e+01 4.284869680479607723e+02 5.886085949595010192e+00 1.179101884301059361e-01 -1.387778780781445676e-17
4.464900735601848680e+01 4.234837624426968432e+02 6.121063497035571288e+00 1.826318648432781744e-01 0.000000000000000000e+00
4.585574591734747685e+01 4.745175428497070129e+02 5.610393581552742148e+00 3.044106117535068032e-02 -5.898059818321144121e-17
4.706244523188980367e+01 4.906461501756506891e+02 5.568752703117429093e+00 1.648314607024686448e-02 -8.326672684688674053e-17
4.826920952468552173e+01 5.264347299286272346e+02 5.323257730716115965e+00 -6.775470352923596007e-02 -1.387778780781445676e-17
4.947592368558589015e+01 5.225774727435798468e+02 5.496611805682727336e+00 -8.001043412982898964e-03 1.266348137463069179e-16
5.068263043355843678e+01 4.194179263622469875e+02 7.015586723900289812e+00 3.001157525261322068e-01 2.220506587560191480e-01
5.188943189995369210e+01 4.294032629270336088e+02 7.015609626105404395e+00 3.001157524470535187e-01 3.460287159813156266e-01
5.309604853281337000e+01 5.038305339188509038e+02 6.118282945263214145e+00 1.819325263342718435e-01 -8.326672684688674053e-17
5.430290684129899859e+01 5.781217854780398966e+02 5.453252188639158504e+00 -2.286024277498578672e-02 1.179611963664228824e-16
5.550953636040770789e+01 5.989665600370001357e+02 5.380428480010372105e+00 -4.797296753748682419e-02 1.387778780781445676e-16
5.671628691689247148e+01 5.934508739843760168e+02 5.548490626276935345e+00 9.641686319632743890e-03 6.938893903907228378e-18
5.792312048438695626e+01 6.186880327684413032e+02 5.435407064545066724e+00 -2.899914260448000630e-02 1.908195823574487804e-16
5.912960257003677356e+01 6.553334733329024857e+02 5.238349222951918627e+00 -9.709872433728550245e-02 -1.665334536937734811e-16
6.033670125135172668e+01 6.033723012081292154e+02 5.805612335883415298e+00 9.344586280506519960e-02 -2.081668171172168513e-16
6.154301704285906283e+01 6.457248955256457066e+02 5.533285663992517200e+00 4.488567429206018547e-03 1.682681771697502882e-16
6.275008103358447187e+01 6.439160821037190772e+02 5.657660180796666438e+00 4.609471086729401840e-02 1.387778780781445676e-16
6.395670915387113808e+01 6.354675117757890348e+02 5.843117191222862772e+00 1.049744505681186185e-01 1.110223024625156540e-16
6.516316942581832450e+01 6.819354759858551915e+02 5.547671731508224902e+00 9.364560530089402132e-03 -5.898059818321144121e-17
6.637061146503414477e+01 6.843536498770849903e+02 5.630501396392452840e+00 3.712673274914531779e-02 -8.326672684688674053e-17
6.757623715074460335e+01 8.837918150488910669e+02 4.439109620057471339e+00 -3.341024188151597851e-01 -4.440892098500626162e-16
6.878425442125926281e+01 8.153011965039320330e+02 4.898045262103523534e+00 -2.103531947659423307e-01 1.110223024625156540e-16
6.998987825722574030e+01 6.779753181308475405e+02 5.993399042296225332e+00 1.488146034868154666e-01 -1.665334536937734811e-16
7.119706868094166907e+01 7.769054226427576850e+02 5.320418563686483360e+00 -6.873736955432667439e-02 -1.249000902703301108e-16
7.240443097210157930e+01 7.791141425771746754e+02 5.395303706680115496e+00 -4.283218678928737283e-02 -6.245004513516505540e-17
7.360916692706837239e+01 7.729533462058367377e+02 5.528794660935865579e+00 2.963558655514857490e-03 -3.356689926015121728e-16
7.481916574633913797e+01 8.123714697849004551e+02 5.346998204238643027e+00 -5.953774348178958453e-02 -5.551115123125782702e-17
7.602192655825312784e+01 8.076293734830633184e+02 5.464854520097643942e+00 -1.887567044369316271e-02 -1.457167719820517959e-16
7.723224304625333048e+01 8.085574631639535710e+02 5.545485801259830261e+00 8.624579597186300683e-03 -9.540979117872439019e-17
7.843719425623751818e+01 8.004001400286161925e+02 5.689403478338669551e+00 5.647867328498679812e-02 5.551115123125782702e-17
7.964250033879243063e+01 8.315840443284542971e+02 5.560202103739280588e+00 1.359975296459052518e-02 -6.071532165918824830e-17
8.085470696870692109e+01 8.506483487983813347e+02 5.518322575776268835e+00 -5.974413099429559454e-04 -7.806255641895631925e-18
8.205210914116342735e+01 8.756565372653391250e+02 5.440111415904538283e+00 -2.737966154423123258e-02 -4.336808689942017736e-16
8.327041716394327864e+01 8.988871850234684189e+02 5.378205481362980933e+00 -4.874155723448009986e-02 -1.804112415015879378e-16
8.446599361944980444e+01 8.675925409553785812e+02 5.652205265400646717e+00 4.429944354690876218e-02 1.387778780781445676e-17
8.568018783277084083e+01 9.040470971576961574e+02 5.502261077722736538e+00 -6.071992887601054302e-03 -1.604619215278546562e-16
8.688660356392794881e+01 9.412979834465697877e+02 5.358923187192486282e+00 -5.541113869994048619e-02 -6.245004513516505540e-16
8.808138378282205849e+01 9.271541584166675420e+02 5.515488938814860020e+00 -1.562177517760509910e-03 -3.564856743132338579e-16
